ID,Pdf_File_Name,Pdf_Source_URL,Product,Publish_Date,Source_URL,Title,job_id,topices
1,,https://www.gao.gov/assets/gao-21-215.pdf,GAO,"Sep 10, 2021.",https://www.gao.gov/products/gao-21-215,"Upfront Funding Could Benefit Some Projects, but Other Potential Effects Not Clearly Identified",a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Government Operations
1,,https://www.gao.gov/assets/720/716462.pdf,GAO,"Sep 10, 2021.",https://www.gao.gov/products/gao-21-215,"Upfront Funding Could Benefit Some Projects, but Other Potential Effects Not Clearly Identified",a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Government Operations
3,,https://www.gao.gov/assets/gao-21-104311.pdf,GAO,"Sep 09, 2021.",https://www.gao.gov/products/gao-21-104311,DOD Could Further Enhance Its Compliance Efforts Related to Former Employees Working for Defense Contractors,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Employment
3,,https://www.gao.gov/assets/720/716461.pdf,GAO,"Sep 09, 2021.",https://www.gao.gov/products/gao-21-104311,DOD Could Further Enhance Its Compliance Efforts Related to Former Employees Working for Defense Contractors,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Employment
2,,https://www.gao.gov/assets/gao-21-104622.pdf,GAO,"Sep 09, 2021.",https://www.gao.gov/products/gao-21-104622,Benefits and Challenges of Smartphone Applications to Augment Contact Tracing,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Information Technology
2,,https://www.gao.gov/assets/720/716460.pdf,GAO,"Sep 09, 2021.",https://www.gao.gov/products/gao-21-104622,Benefits and Challenges of Smartphone Applications to Augment Contact Tracing,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Information Technology
4,,https://www.gao.gov/assets/gao-21-104401.pdf,GAO,"Sep 08, 2021.",https://www.gao.gov/products/gao-21-104401,Evaluating COVID-19 Response Could Help CMS Prepare for Future Emergencies,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Health Care
4,,https://www.gao.gov/assets/720/716443.pdf,GAO,"Sep 08, 2021.",https://www.gao.gov/products/gao-21-104401,Evaluating COVID-19 Response Could Help CMS Prepare for Future Emergencies,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Health Care
8,,https://www.gao.gov/assets/gao-21-105227.pdf,GAO,"Sep 01, 2021.",https://www.gao.gov/products/gao-21-105227,Status of End-Use Monitoring of Dual-Use Exports as of August 2021,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,International Affairs
8,,https://www.gao.gov/assets/720/716365.pdf,GAO,"Sep 01, 2021.",https://www.gao.gov/products/gao-21-105227,Status of End-Use Monitoring of Dual-Use Exports as of August 2021,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,International Affairs
10,,https://www.gao.gov/assets/gao-21-548.pdf,GAO,"Aug 31, 2021.",https://www.gao.gov/products/gao-21-548,Improved Monitoring Framework Needed to Assess and Report on Feed the Future's Performance,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,International Affairs
9,,https://www.gao.gov/assets/gao-21-104404.pdf,GAO,"Aug 31, 2021.",https://www.gao.gov/products/gao-21-104404,Improvements Needed in Guidance and Stakeholder Engagement for Immigration Courts,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Justice and Law Enforcement
9,,https://www.gao.gov/assets/720/716366.pdf,GAO,"Aug 31, 2021.",https://www.gao.gov/products/gao-21-104404,Improvements Needed in Guidance and Stakeholder Engagement for Immigration Courts,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Justice and Law Enforcement
5,,https://www.gao.gov/assets/gao-21-104379.pdf,GAO,"Sep 08, 2021.",https://www.gao.gov/products/gao-21-104379,Too Early to Determine Effects of Allowing Recipients to Serve at For-Profit Facilities,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Health Care
5,,https://www.gao.gov/assets/720/716442.pdf,GAO,"Sep 08, 2021.",https://www.gao.gov/products/gao-21-104379,Too Early to Determine Effects of Allowing Recipients to Serve at For-Profit Facilities,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Health Care
6,,https://www.gao.gov/assets/gao-21-353.pdf,GAO,"Sep 08, 2021.",https://www.gao.gov/products/gao-21-353,Key Information and Opportunities to Better Assess Performance,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Agriculture and Food
7,,https://www.gao.gov/assets/gao-21-105283.pdf,GAO,"Sep 02, 2021.",https://www.gao.gov/products/gao-21-105283,DOD Should Explore Options to Meet User Needs for Narrowband Capabilities,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Telecommunications
7,,https://www.gao.gov/assets/720/716401.pdf,GAO,"Sep 02, 2021.",https://www.gao.gov/products/gao-21-105283,DOD Should Explore Options to Meet User Needs for Narrowband Capabilities,a7a24011-fb13-4a22-a7b9-4e17bb793227-1631530164,Telecommunications
